Method,NewUserName,MovementRadius,RequiredThroughput,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
random,User3,14.95,30.00,13.78,AP3,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User4,14.95,30.00,11.47,AP0,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User5,14.95,30.00,2.04,AP2,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User6,14.95,30.00,4.97,AP1,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User7,14.95,30.00,5.69,AP1,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User8,14.95,30.00,8.01,AP1,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User9,14.95,30.00,11.21,AP0,1785.05,1806.84,-1.21,201.63,230.73,432.36
random,User0,14.95,30.00,12.38,AP1,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User1,14.95,30.00,6.89,AP1,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User2,14.95,30.00,8.05,AP0,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User3,14.95,30.00,11.77,AP0,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User4,14.95,30.00,10.91,AP3,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User5,14.95,30.00,4.38,AP1,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User6,14.95,30.00,2.15,AP2,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User7,14.95,30.00,9.32,AP1,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User8,14.95,30.00,0.69,AP3,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User9,14.95,30.00,13.85,AP0,1733.15,1767.14,-1.92,193.12,210.58,403.70
random,User0,14.95,30.00,3.41,AP0,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User1,14.95,30.00,11.77,AP1,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User2,14.95,30.00,9.06,AP0,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User3,14.95,30.00,5.18,AP3,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User4,14.95,30.00,12.50,AP1,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User5,14.95,30.00,11.15,AP0,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User6,14.95,30.00,5.21,AP1,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User7,14.95,30.00,10.35,AP2,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User8,14.95,30.00,4.59,AP0,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User9,14.95,30.00,1.61,AP3,1816.92,1841.58,-1.34,213.86,202.71,416.58
random,User0,14.95,30.00,3.24,AP0,1675.21,1648.23,1.64,222.64,196.04,418.68
random,User1,14.95,30.00,14.26,AP0,1675.21,1648.23,1.64,222.64,196.04,418.68
random,User2,14.95,30.00,3.80,AP3,1675.21,1648.23,1.64,222.64,196.04,418.68
random,User3,14.95,30.00,6.60,AP3,1675.21,1648.23,1.64,222.64,196.04,418.68
